# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0001/ ",0078
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12150-0 ","TINTA INKBANK EPSON E850/504/544 BLACK 70ML-. ","23,00 ","UN ","5,22 ","63,76 ","120,00","46,87%"
"12151-0 ","TINTA INKBANK EPSON E850/504/544 CYAN 70ML-. ","12,00 ","UN ","5,42 ","33,02 ","65,00","49,20%"
"12152-0 ","TINTA INKBANK EPSON E850/504/544 MAG 70ML-. ","11,00 ","UN ","5,00 ","29,87 ","55,00","45,69%"
"12153-0 ","TINTA INKBANK EPSON E850/504/544 YELL 70ML-. ","13,00 ","UN ","5,31 ","35,34 ","69,00","48,78%"
"12188-0 ","TINTA INKBANK EPSON EL8100/504/544 BLACK 70ML C/ CAIXA-. ","10,00 ","UN ","7,00 ","34,47 ","70,00","50,76%"
"12189-0 ","TINTA INKBANK EPSON EL8100/504/544 CYAN 70ML C/ CAIXA-. ","8,00 ","UN ","7,00 ","27,22 ","56,00","51,39%"
"12190-0 ","TINTA INKBANK EPSON EL8100/504/544 MAG 70ML C/ CAIXA-. ","8,00 ","UN ","7,00 ","27,19 ","56,00","51,45%"
"12191-0 ","TINTA INKBANK EPSON EL8100/504/544 YELL 70ML C/ CAIXA-. ","8,00 ","UN ","7,00 ","27,13 ","56,00","51,55%"
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","1,00 ","UN ","38,00 ","17,61 ","38,00","53,66%"
"12192-0 ","TINTA INKBANK UNIVERSAL ET365 CYAN 1L (CX C/ 20)-. ","1,00 ","UN ","38,00 ","18,00 ","38,00","52,63%"
"12184-0 ","TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-. ","1,00 ","UN ","38,00 ","17,92 ","38,00","52,84%"
"12163-0 ","TINTA INKBANK UNIVERSAL ET365/664 BLACK 100ML (CX C/ 100)-. ","10,00 ","UN ","6,00 ","25,85 ","60,00","56,92%"
"12164-0 ","TINTA INKBANK UNIVERSAL ET365/664 CYAN 100ML (CX C/ 100)-. ","6,00 ","UN ","6,00 ","15,57 ","36,00","56,75%"
"12165-0 ","TINTA INKBANK UNIVERSAL ET365/664 MAG 100ML (CX C/ 100)-. ","4,00 ","UN ","6,00 ","10,35 ","24,00","56,88%"
"12166-0 ","TINTA INKBANK UNIVERSAL ET365/664 YELL 100ML (CX C/ 100)-. ","5,00 ","UN ","6,00 ","12,93 ","30,00","56,90%"
,"Total : ",,,,,,
,,"121,00 ",,"6,70","396,23 ","811,00","51,14%"
"20.165 ",ACESSÓRIOS JATO DE TINTA | DIVERSOS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"15012-0 ","ALCOOL ISOPROPILICO QUIMAGRAF 1LT-. ","1,00 ","UN ","35,00 ","18,09 ","35,00","48,31%"
"15001-0 ","CLIP P/ CARTUCHO SERIE 3000/5000 PRETO 1X100 (CX C/ 30)-. ","1,00 ","PCT ","35,00 ","17,25 ","35,00","50,71%"
,"Total : ",,,,,,
,,"2,00 ",,"35,00","35,34 ","70,00","49,52%"
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115073-0LONA UNIBANNER BRILHO F.P. 1000x1000 300g 3,20mt-. ",,"880,00 ","M2 ","6,11 ","3.266,31 ","5.376,00","39,24%"
,"Total : ",,,,,,
,,"880,00 ",,"6,11","3.266,31 ","5.376,00","39,24%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011019-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,27mt-. ",,"63,50 ","M2 ","6,70 ","277,15 ","425,45","34,86%"
"2011020-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,52mt-. ",,"76,00 ","M2 ","6,80 ","317,53 ","516,80","38,56%"
,"Total : ",,,,,,
,,"139,50 ",,"6,75","594,68 ","942,25","36,89%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013067-0ACM UNIBOND BRANCO ALTO BRILHO 3mm 1.50 x 5.00mt T805-. ",,"6,00 ","UN ","604,17 ","2.209,86 ","3.625,00","39,04%"
,"Total : ",,,,,,
,,"6,00 ",,"604,17","2.209,86 ","3.625,00","39,04%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0012/ ",0078
PB,BAYEUX,,,,,,
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013219-0ACM SIGNBOND AMARELO ALTO BRILHO 3mm 1.22 x 5.00mt T8821-. ",,"3,00 ","UN ","380,00 ","790,68 ","1.140,00","30,64%"
"2013120-0ACM SIGNBOND ESP. ACO CORTEN 3mm 1.22 x 5.00mt-. ",,"9,00 ","UN ","670,00 ","3.382,78 ","6.030,00","43,90%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"3,00 ","UN ","380,00 ","789,13 ","1.140,00","30,78%"
,"Total : ",,,,,,
,,"15,00 ",,"554,00","4.962,60 ","8.310,00","40,28%"
,2028.2023 CHAPA POLICARBONATO | CHAPAS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017541-0CHAPA POLICARBONATO MDP 2100x6000x4MM CRISTAL-. ",,"1,00 ","UN ","470,00 ","281,30 ","470,00","40,15%"
,"Total : ",,,,,,
,,"1,00 ",,"470,00","281,30 ","470,00","40,15%"
,"TOTAL CIDADE: ","1.199,50 ",,,"13.527,49 ","22.664,75","40,31%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0013/ ",0078
PB,CABEDELO,,,,,,
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4069-0 ","CART. DE TONER COMP. COM BROTHER TN760 CHMT-. ","2,00 ","PC ","50,00 ","36,20 ","100,00","63,80%"
,"Total : ",,,,,,
,,"2,00 ",,"50,00","36,20 ","100,00","63,80%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12150-0 ","TINTA INKBANK EPSON E850/504/544 BLACK 70ML-. ","40,00 ","UN ","4,90 ","110,22 ","196,00","43,77%"
"12151-0 ","TINTA INKBANK EPSON E850/504/544 CYAN 70ML-. ","20,00 ","UN ","4,90 ","54,99 ","98,00","43,89%"
"12153-0 ","TINTA INKBANK EPSON E850/504/544 YELL 70ML-. ","20,00 ","UN ","4,90 ","54,25 ","98,00","44,64%"
"12190-0 ","TINTA INKBANK EPSON EL8100/504/544 MAG 70ML C/ CAIXA-. ","20,00 ","UN ","5,16 ","67,98 ","103,20","34,13%"
"12163-0 ","TINTA INKBANK UNIVERSAL ET365/664 BLACK 100ML (CX C/ 100)-. ","10,00 ","UN ","4,51 ","25,85 ","45,06","42,63%"
"12164-0 ","TINTA INKBANK UNIVERSAL ET365/664 CYAN 100ML (CX C/ 100)-. ","10,00 ","UN ","4,51 ","25,94 ","45,06","42,43%"
"12165-0 ","TINTA INKBANK UNIVERSAL ET365/664 MAG 100ML (CX C/ 100)-. ","10,00 ","UN ","4,51 ","25,86 ","45,06","42,61%"
"12166-0 ","TINTA INKBANK UNIVERSAL ET365/664 YELL 100ML (CX C/ 100)-. ","10,00 ","UN ","4,51 ","25,86 ","45,06","42,61%"
,"Total : ",,,,,,
,,"140,00 ",,"4,82","390,96 ","675,44","42,12%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013197-0ACM UNIBOND BRANCO FOSCO 3mm 1.50 x 5.00mt UNI8813-. ",,"8,00 ","UN ","620,00 ","2.955,47 ","4.960,00","40,41%"
"2013209-0ACM UNIBOND DEEP GREY 3mm 1.50 x 5.00mt 8872-. ",,"3,00 ","UN ","600,00 ","1.112,80 ","1.800,00","38,18%"
"2013210-0ACM UNIBOND ESP.MADEIRA ESCURO 3mm 1.50 x 5.00mt T824-. ",,"1,00 ","UN ","698,00 ","490,16 ","698,00","29,78%"
"2013081-0ACM UNIBOND PRATA METALIZADO 3mm 1.50 x 5.00mt 8801-. ",,"1,00 ","UN ","629,54 ","359,15 ","629,54","42,95%"
,"Total : ",,,,,,
,,"13,00 ",,"622,12","4.917,58 ","8.087,54","39,20%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013144-0ACM SIGNBOND CHAMPAGNE 3mm 1.22 x 5.00mt 8808-. ",,"1,00 ","UN ","430,00 ","257,87 ","430,00","40,03%"
"2013138-0ACM SIGNBOND DOURADO 3mm 1.22 x 5.00mt 8810-. ",,"3,00 ","UN ","440,00 ","791,26 ","1.320,00","40,06%"
"2013134-0ACM SIGNBOND LARANJA ALTO BRILHO 3mm 1.22 x 5.00mt T801-. ",,"4,00 ","UN ","390,00 ","1.057,02 ","1.560,00","32,24%"
,"Total : ",,,,,,
,,"8,00 ",,"413,75","2.106,14 ","3.310,00","36,37%"
,2003.2054 ACM | PVDF,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013115-0ACM UNIBOND ARCHIE PRETO FOSCO PVDF 4mm (0.30) 1.50 x 5.00mt (8866)-. ",,"4,00 ","UN ","1.200,00 ","2.833,44 ","4.800,00","40,97%"
,"Total : ",,,,,,
,,"4,00 ",,"1.200,00","2.833,44 ","4.800,00","40,97%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019100-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 02MM-. ",,"5,00 ","UN ","50,00 ","139,65 ","250,00","44,14%"
"2019121-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 05MM-. ",,"5,00 ","UN ","99,00 ","296,58 ","495,00","40,08%"
,"Total : ",,,,,,
,,"10,00 ",,"74,50","436,23 ","745,00","41,45%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0014/ ",0078
PB,CABEDELO,,,,,,
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260019-0ACRILICO UNIGLASS BRANCO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"2,00 ","UN ","215,00 ","257,64 ","430,00","40,08%"
"20260017-0ACRILICO UNIGLASS CRISTAL 3mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","285,00 ","170,38 ","285,00","40,22%"
"20260032-0ACRILICO UNIGLASS PRETO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"4,00 ","UN ","220,00 ","522,21 ","880,00","40,66%"
,"Total : ",,,,,,
,,"7,00 ",,"227,86","950,23 ","1.595,00","40,42%"
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015041-0FITA NORBOND AD 2163F-3BI 19mmX20m-. ",,"4,00 ","UN ","125,00 ","261,13 ","500,00","47,77%"
,"Total : ",,,,,,
,,"4,00 ",,"125,00","261,13 ","500,00","47,77%"
,"TOTAL CIDADE: ","188,00 ",,,"11.931,91 ","19.812,98","39,78%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0015/ ",0078
PB,CAICARA,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4114-0 ","CART. DE TONER COMP. COM PM 1105A/1107A 1K COM CHIP EVOLUT(CX C/ 15)-. ","15,00 ","PC ","45,00 ","327,96 ","675,00","51,41%"
,"Total : ",,,,,,
,,"15,00 ",,"45,00","327,96 ","675,00","51,41%"
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","2,00 ","PC ","35,00 ","20,12 ","70,00","71,26%"
"3943-0 ","CART. DE TONER COMP. COM BROTHER TN660/630/2340/2370 2,6K EVOLUT(CX C/ 10)-. ","20,00 ","PC ","25,90 ","291,43 ","518,00","43,74%"
,"Total : ",,,,,,
,,"22,00 ",,"26,73","311,55 ","588,00","47,02%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12174-0 ","TINTA INKBANK EPSON E850/664 BLACK 100ML (CX C/ 100)-. ","10,00 ","UN ","7,00 ","31,37 ","70,00","55,19%"
,"Total : ",,,,,,
,,"10,00 ",,"7,00","31,37 ","70,00","55,18%"
,"TOTAL CIDADE: ","47,00 ",,,"670,88 ","1.333,00","49,67%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0016/ ",0078
PB,CAJAZEIRAS,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3162-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K EVOLUT(CX C/ 20)-. ","102,00 ","PC ","23,76 ","1.697,72 ","2.423,70","29,95%"
"3033-0 ","CART. DE TONER COMP. COM PM CE285A 1,6K EVOLUT(CX C/ 20)-. ","30,00 ","PC ","22,90 ","493,25 ","687,00","28,20%"
"3942-0 ","CART. DE TONER COMP. COM PM CF226A M402N/M426DW 3,1K EVOLUT-. ","1,00 ","PC ","42,00 ","28,56 ","42,00","32,00%"
"3149-0 ","CART. DE TONER COMP. COM PM CF283A M125/M126/M127/M128 1,5K EVOLUT(CX C/ 12)-. ","12,00 ","PC ","25,00 ","199,74 ","300,00","33,42%"
,"Total : ",,,,,,
,,"145,00 ",,"23,81","2.419,26 ","3.452,70","29,93%"
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4063-0 ","CART. DE TONER COMP. COM BROTHER TN-B021 CHMT 2.6K-. ","30,00 ","PC ","25,00 ","301,20 ","750,00","59,84%"
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","32,00 ","PC ","14,80 ","321,94 ","473,50","32,01%"
"3908-0 ","CART. DE TONER COMP. COM BROTHER TN410/420/450 2,6K EVOLUT(CX C/ 15)-. ","7,00 ","PC ","21,00 ","106,82 ","147,00","27,33%"
"3943-0 ","CART. DE TONER COMP. COM BROTHER TN660/630/2340/2370 2,6K EVOLUT(CX C/ 10)-. ","50,00 ","PC ","19,50 ","728,58 ","975,00","25,27%"
"3216-0 ","CART. DE TONER COMP. COM BROTHER TN880/TN3472 12K CHMT(CX C/ 10)-. ","1,00 ","PC ","65,00 ","29,45 ","65,00","54,69%"
,"Total : ",,,,,,
,,"120,00 ",,"20,09","1.487,99 ","2.410,50","38,27%"
"10.115 ",CARTUCHO DE TONER | SAMSUNG,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3345-0 ","CART. DE TONER COMP. COM SAMSUNG D203 ML3320/3870/4070 15K CHMT(CX C/10)-. ","2,00 ","PC ","80,00 ","85,90 ","160,00","46,31%"
,"Total : ",,,,,,
,,"2,00 ",,"80,00","85,90 ","160,00","46,31%"
"10.135 ",CARTUCHO DE TONER | FOTOCONDUTOR,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4064-0 ","KIT FOTOCONDUTOR COMP. COM BROTHER DR-B021 EVOLUT-. ","4,00 ","PC ","75,00 ","159,09 ","300,00","46,97%"
,"Total : ",,,,,,
,,"4,00 ",,"75,00","159,09 ","300,00","46,97%"
"19.219 ",TINTA | EPSON/BULK INK/1L,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"10788-0 ","TINTA BULK INK UNIVERSAL ET365 YELLOW 500ML (CX C/ 25)-. ","2,00 ","UN ","23,00 ","23,70 ","46,00","48,48%"
,"Total : ",,,,,,
,,"2,00 ",,"23,00","23,70 ","46,00","48,48%"
"19.235 ",TINTA | A.T.INKS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12117-0 ","SOLVENTE A.T.INKS UNIVERSAL FLUSH 1L (GRF)-. ","1,00 ","UN ","159,00 ","93,66 ","159,00","41,09%"
,"Total : ",,,,,,
,,"1,00 ",,"159,00","93,66 ","159,00","41,09%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0017/ ",0078
PB,CAJAZEIRAS,,,,,,
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12150-0 ","TINTA INKBANK EPSON E850/504/544 BLACK 70ML-. ","15,00 ","UN ","5,00 ","41,33 ","75,00","44,89%"
"12151-0 ","TINTA INKBANK EPSON E850/504/544 CYAN 70ML-. ","9,00 ","UN ","5,00 ","24,75 ","45,00","45,00%"
"12152-0 ","TINTA INKBANK EPSON E850/504/544 MAG 70ML-. ","13,00 ","UN ","5,00 ","35,22 ","65,00","45,82%"
"12153-0 ","TINTA INKBANK EPSON E850/504/544 YELL 70ML-. ","15,00 ","UN ","5,00 ","40,69 ","75,00","45,75%"
"12188-0 ","TINTA INKBANK EPSON EL8100/504/544 BLACK 70ML C/ CAIXA-. ","30,00 ","UN ","4,50 ","103,42 ","135,00","23,39%"
"12189-0 ","TINTA INKBANK EPSON EL8100/504/544 CYAN 70ML C/ CAIXA-. ","10,00 ","UN ","4,50 ","34,03 ","45,00","24,38%"
"12190-0 ","TINTA INKBANK EPSON EL8100/504/544 MAG 70ML C/ CAIXA-. ","10,00 ","UN ","4,50 ","33,99 ","45,00","24,47%"
"12191-0 ","TINTA INKBANK EPSON EL8100/504/544 YELL 70ML C/ CAIXA-. ","10,00 ","UN ","4,50 ","33,91 ","45,00","24,62%"
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","1,00 ","UN ","40,00 ","17,61 ","40,00","55,98%"
"12163-0 ","TINTA INKBANK UNIVERSAL ET365/664 BLACK 100ML (CX C/ 100)-. ","10,00 ","UN ","4,80 ","25,85 ","48,00","46,15%"
"12164-0 ","TINTA INKBANK UNIVERSAL ET365/664 CYAN 100ML (CX C/ 100)-. ","4,00 ","UN ","4,80 ","10,38 ","19,20","45,94%"
"12165-0 ","TINTA INKBANK UNIVERSAL ET365/664 MAG 100ML (CX C/ 100)-. ","4,00 ","UN ","4,80 ","10,35 ","19,20","46,09%"
"12166-0 ","TINTA INKBANK UNIVERSAL ET365/664 YELL 100ML (CX C/ 100)-. ","5,00 ","UN ","4,80 ","12,93 ","24,00","46,13%"
,"Total : ",,,,,,
,,"136,00 ",,"5,00","424,45 ","680,40","37,62%"
"19.237 ",TINTA | MARABU,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12199-0 ","TINTA MARAJET DI-E 428 YELLOW GRF 1L-. ","1,00 ","UN ","300,00 ","175,36 ","300,00","41,55%"
"12198-0 ","TINTA MARAJET DI-E 439 MAGENTA GRF 1L-. ","1,00 ","UN ","300,00 ","166,50 ","300,00","44,50%"
,"Total : ",,,,,,
,,"2,00 ",,"300,00","341,86 ","600,00","43,02%"
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115047-0LONA UNIBANNER BRILHO F.P. 300x500 380g 3,20mt-. ",,"240,00 ","M2 ","7,44 ","1.070,87 ","1.785,70","40,03%"
"20115059-0LONA UNIBANNER BRILHO F.P. 300x500 440g 2,20mt-. ",,"220,00 ","M2 ","8,05 ","1.096,79 ","1.772,00","38,10%"
"20115061-0LONA UNIBANNER BRILHO F.P. 300x500 440g 2,50mt-. ",,"45,00 ","M2 ","8,22 ","221,99 ","370,00","40,00%"
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"80,00 ","M2 ","8,34 ","399,10 ","667,00","40,16%"
"20115064-0LONA UNIBANNER BRILHO FRONTLIGHT F.P. 200*300 280g 3.20mt-. ",,"160,00 ","M2 ","5,79 ","556,32 ","927,00","39,99%"
,"Total : ",,,,,,
,,"745,00 ",,"7,41","3.345,07 ","5.521,70","39,42%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"53,00 ","M2 ","5,75 ","182,88 ","304,90","40,02%"
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"254,00 ","M2 ","5,52 ","864,11 ","1.401,90","38,36%"
"2011056-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,37mt-. ",,"68,50 ","M2 ","5,37 ","226,44 ","368,00","38,47%"
"2011115-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,06mt-. ",,"159,00 ","M2 ","5,57 ","530,48 ","885,00","40,06%"
"2011046-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,27mt-. ",,"63,50 ","M2 ","5,07 ","192,64 ","322,00","40,17%"
"2011039-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.06mt-. ",,"159,00 ","M2 ","6,62 ","624,19 ","1.053,00","40,72%"
"2011006-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.27mt-. ",,"127,00 ","M2 ","6,60 ","501,43 ","838,00","40,16%"
"2011007-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.52mt-. ",,"76,00 ","M2 ","6,75 ","307,22 ","513,00","40,11%"
,"Total : ",,,,,,
,,"960,00 ",,"5,92","3.429,39 ","5.685,80","39,68%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0018/ ",0078
PB,CAJAZEIRAS,,,,,,
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013065-0ACM UNIBOND AZUL ESCURO ALTO BRILHO 3mm 1.50 x 5.00mt T808-. ",,"6,00 ","UN ","590,00 ","2.181,18 ","3.540,00","38,38%"
"2013074-0ACM UNIBOND GRAFITE 3mm 1.50 x 5.00mt 8863-. ",,"2,00 ","UN ","597,50 ","735,90 ","1.195,00","38,42%"
"2013200-0ACM UNIBOND RUBI 3mm 1.50 x 5.00mt 8833-. ",,"1,00 ","UN ","595,00 ","364,07 ","595,00","38,81%"
,"Total : ",,,,,,
,,"9,00 ",,"592,22","3.281,15 ","5.330,00","38,44%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"11,00 ","UN ","365,64 ","2.779,16 ","4.022,00","30,90%"
"2013138-0ACM SIGNBOND DOURADO 3mm 1.22 x 5.00mt 8810-. ",,"3,00 ","UN ","410,00 ","795,07 ","1.230,00","35,36%"
"2013139-0ACM SIGNBOND GRAFITE 3mm 1.22 x 5.00mt 8863-. ",,"4,00 ","UN ","400,00 ","1.048,84 ","1.600,00","34,45%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"5,00 ","UN ","408,00 ","1.326,39 ","2.040,00","34,98%"
"2013128-0ACM SIGNBOND PRETO FOSCO 3mm 1.22 x 5.00mt UNI8866-. ",,"5,00 ","UN ","403,60 ","1.323,07 ","2.018,00","34,44%"
"2013137-0ACM SIGNBOND RUBI 3mm 1.22 x 5.00mt UNI8833-. ",,"1,00 ","UN ","405,00 ","264,93 ","405,00","34,59%"
"2013135-0ACM SIGNBOND VERDE INTENSO 3mm 1.22 x 5.00mt 8840-. ",,"8,00 ","UN ","408,50 ","2.120,09 ","3.268,00","35,13%"
,"Total : ",,,,,,
,,"37,00 ",,"394,14","9.657,56 ","14.583,00","33,78%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"5,00 ","UN ","148,00 ","527,63 ","740,00","28,70%"
,"Total : ",,,,,,
,,"5,00 ",,"148,00","527,63 ","740,00","28,70%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260018-0ACRILICO UNIGLASS CRISTAL 4mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","385,00 ","230,27 ","385,00","40,19%"
,"Total : ",,,,,,
,,"1,00 ",,"385,00","230,27 ","385,00","40,19%"
,2026.2033 ACRILICO | BOLD,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260059-0ACRILICO BOLD ESPELHADO DOURADO 2MM 1,00 X 2,00MT-. ",,"5,00 ","UN ","306,20 ","977,84 ","1.531,00","36,13%"
"20260060-0ACRILICO BOLD ESPELHADO ROSE 2MM 1,00 X 2,00MT-. ",,"1,00 ","UN ","324,00 ","193,89 ","324,00","40,16%"
